
| Dataset / Feed     | Venue / Source                       | Market          | Asset Class     | Data Type                     | Definition                                                                                                                                    | Typical Use                                      |
| ------------------ | ------------------------------------ | --------------- | --------------- | ----------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------ |
| **GLBX.MDP3**      | CME Globex                           | Futures         | Futures         | Market Data Platform          | CME's primary electronic market data feed for futures and options. Provides trades, quotes, order book, and derived data depending on schema. | NQ, ES, CL, GC research, futures trading systems |
| **ARCX.PILLAR**    | NYSE Arca                            | Equities / ETFs | Stocks, ETFs    | Pillar Feed                   | NYSE Arca's market data feed using the Pillar technology platform.                                                                            | ETF and equity research                          |
| **BATS.PITCH**     | Cboe BZX                             | Equities        | Stocks          | PITCH Order Book Feed         | Full-depth order book feed showing individual orders and market depth.                                                                        | High-frequency, order flow research              |
| **BATY.PITCH**     | Cboe BYX                             | Equities        | Stocks          | PITCH Order Book Feed         | Cboe BYX exchange order book data.                                                                                                            | Equity microstructure research                   |
| **DBEQ.BASIC**     | Databento Equity Basic               | Equities        | Stocks          | Consolidated Equity Feed      | Simplified equity market data feed designed for easier access.                                                                                | General stock analysis                           |
| **EDGA.PITCH**     | Cboe EDGA                            | Equities        | Stocks          | PITCH Order Book Feed         | Full-depth order book data from EDGA exchange.                                                                                                | Market microstructure                            |
| **EDGX.PITCH**     | Cboe EDGX                            | Equities        | Stocks          | PITCH Order Book Feed         | Full-depth order book data from EDGX exchange.                                                                                                | Market microstructure                            |
| **EPRL.DOM**       | Nasdaq? / Exchange Depth Feed        | Equities        | Stocks          | Depth of Market               | Provides market depth information (bid/ask levels).                                                                                           | Order book analysis                              |
| **EQUS.MINI**      | US Equity Mini Feed                  | Equities        | Stocks          | Simplified Market Feed        | Lightweight US equity data feed.                                                                                                              | Basic equity research                            |
| **EQUS.SUMMARY**   | US Equity Summary                    | Equities        | Stocks          | Aggregated Market Summary     | Summarized equity market information.                                                                                                         | Screening and analytics                          |
| **IEXG.TOPS**      | Investors Exchange (IEX)             | Equities        | Stocks          | Top-of-Book Feed              | Best bid and best ask only.                                                                                                                   | Simple equity quotes                             |
| **IFEU.IMPACT**    | ICE Futures Europe                   | Futures         | Futures         | Exchange Market Data Feed     | ICE European futures market data.                                                                                                             | Brent crude, commodities, futures                |
| **IFLL.IMPACT**    | ICE Futures                          | Futures         | Futures         | Exchange Market Data Feed     | ICE futures market data.                                                                                                                      | Energy, commodities                              |
| **IFUS.IMPACT**    | ICE Futures US                       | Futures         | Futures         | Exchange Market Data Feed     | ICE US futures market data.                                                                                                                   | Energy, commodities, financial futures           |
| **MEMX.MEMOIR**    | MEMX Exchange                        | Equities        | Stocks          | Market Data Feed              | MEMX equity exchange data.                                                                                                                    | Equity analysis                                  |
| **NDEX.IMPACT**    | Nasdaq Futures? / Nasdaq Derivatives | Derivatives     | Futures/options | Exchange Feed                 | Nasdaq-related derivatives market data.                                                                                                       | Derivatives research                             |
| **OCEA.MEMOIR**    | MEMX Options?                        | Options         | Options         | Market Data Feed              | Options-related market data.                                                                                                                  | Options research                                 |
| **OPRA.PILLAR**    | Options Price Reporting Authority    | Options         | Options         | Consolidated Options Feed     | National options market data feed combining multiple exchanges.                                                                               | Options pricing, options analytics               |
| **XASE.PILLAR**    | NYSE American                        | Equities        | Stocks          | Pillar Feed                   | NYSE American market data.                                                                                                                    | Small/mid-cap equity analysis                    |
| **XBOS.ITCH**      | Nasdaq Boston                        | Equities        | Stocks          | ITCH Order Feed               | Detailed order and trade feed.                                                                                                                | Order flow research                              |
| **XCBF.PITCH**     | Cboe Futures Exchange                | Futures         | Futures         | PITCH Feed                    | Order book and trading data.                                                                                                                  | Futures microstructure                           |
| **XCHI.PILLAR**    | NYSE Chicago                         | Equities        | Stocks          | Pillar Feed                   | NYSE Chicago equity data.                                                                                                                     | Equity research                                  |
| **XCIS.TRADESBBO** | Consolidated Exchange Feed           | Equities        | Stocks          | Trades + Best Bid Offer       | Provides executed trades and top-of-book quotes.                                                                                              | Equity analysis                                  |
| **XEEE.EOBI**      | Eurex                                | Futures         | Futures         | Enhanced Order Book Interface | Eurex order book data.                                                                                                                        | European futures research                        |
| **XEUR.EOBI**      | Eurex                                | Futures         | Futures         | Enhanced Order Book Interface | Eurex derivatives data.                                                                                                                       | European futures                                 |
| **XNAS.BASIC**     | Nasdaq                               | Equities        | Stocks          | Basic Market Feed             | Simplified Nasdaq quote/trade data.                                                                                                           | Stock research                                   |
| **XNAS.ITCH**      | Nasdaq                               | Equities        | Stocks          | ITCH Market Data Feed         | Detailed Nasdaq order and trade feed.                                                                                                         | Order flow, HFT research                         |
| **XNYS.PILLAR**    | NYSE                                 | Equities        | Stocks          | Pillar Feed                   | NYSE exchange market data.                                                                                                                    | Stock research                                   |
| **XPSX.ITCH**      | Nasdaq PSX                           | Equities        | Stocks          | ITCH Feed                     | Nasdaq Philadelphia exchange data.                                                                                                            | Equity microstructure                            |
